NetworkName,0VOEM1,0VOEM2,0VOEM3,0VOEM4,0VOEM5,0VOEM6,0VOEM7,0VOEM8,0VOEM9,0VOEM10,0VOEM11,0VOEM12,1VOEM1,1VOEM2,1VOEM3,1VOEM4,1VOEM5,1VOEM6,1VOEM7,1VOEM8,1VOEM9,1VOEM10,1VOEM11,1VOEM12,2VOEM1,2VOEM2,2VOEM3,2VOEM4,2VOEM5,2VOEM6,2VOEM7,2VOEM8,2VOEM9,2VOEM10,2VOEM11,2VOEM12,3VOEM1,3VOEM2,3VOEM3,3VOEM4,3VOEM5,3VOEM6,3VOEM7,3VOEM8,3VOEM9,3VOEM10,3VOEM11,3VOEM12
324,66,745,207,238,768,177,88,385,62,130,269,151,204,0,148,109,979,0,0,0,0,0,508,56,125,525,224,103,767,153,23,368,196,34,524,98,70,0,64,152,953,0,0,0,0,0,733,38
325,87,796,271,253,818,188,69,432,54,108,358,142,179,0,212,120,1080,0,0,0,0,0,629,69,132,500,247,122,906,181,65,274,162,43,672,126,75,0,112,182,1134,0,0,0,0,0,935,49
326,91,625,207,258,836,193,88,371,56,56,302,185,243,0,291,117,1044,0,0,0,0,0,538,59,64,734,263,115,852,170,52,502,245,42,663,124,93,0,88,176,1044,0,0,0,0,0,930,48
327,85,765,239,208,673,155,109,555,99,132,361,121,172,0,176,96,864,0,0,0,0,0,639,70,85,705,93,92,678,135,73,477,197,41,652,122,117,0,110,200,788,0,0,0,0,0,778,40
328,93,498,290,294,954,220,93,332,71,121,379,191,219,0,150,139,1249,0,0,0,0,0,686,76,92,637,257,156,1163,232,63,573,133,43,668,125,124,0,92,250,1427,0,0,0,0,0,939,49
329,95,605,147,189,611,141,115,410,69,124,475,149,146,0,196,89,795,0,0,0,0,0,664,73,99,590,214,91,674,134,30,330,111,43,688,129,106,0,98,191,793,0,0,0,0,0,886,46
330,100,763,293,274,887,204,80,500,53,93,448,154,298,0,245,119,1067,0,0,0,0,0,739,82,137,877,190,112,836,167,53,401,213,50,787,147,121,0,96,174,994,0,0,0,0,0,979,51
331,124,611,139,256,826,190,99,290,60,102,352,131,303,0,201,108,969,0,0,0,0,0,531,59,109,261,158,106,783,156,69,406,185,38,585,109,148,0,122,227,897,0,0,0,0,0,772,40
332,84,530,186,250,811,187,104,343,67,94,563,163,191,0,222,118,1057,0,0,0,0,0,768,85,79,588,154,123,917,183,67,462,179,50,792,148,120,0,120,127,1103,0,0,0,0,0,963,50
333,44,468,208,227,737,170,87,371,44,117,209,214,162,0,150,108,972,0,0,0,0,0,454,50,97,562,242,103,766,153,51,498,217,31,483,90,97,0,112,213,925,0,0,0,0,0,738,38
334,113,638,151,230,746,172,95,370,61,99,384,147,117,0,203,115,1031,0,0,0,0,0,567,63,69,773,213,116,864,172,49,543,213,39,616,115,133,0,72,225,1019,0,0,0,0,0,835,43
335,41,702,187,218,704,162,113,476,53,68,368,188,210,0,135,98,874,0,0,0,0,0,602,66,95,578,165,98,731,146,55,266,146,38,589,110,125,0,120,176,850,0,0,0,0,0,769,40
336,95,737,133,251,812,187,67,398,63,116,420,161,174,0,209,120,1076,0,0,0,0,0,558,62,100,743,168,115,860,172,37,490,236,39,613,115,85,0,131,214,1062,0,0,0,0,0,778,40
337,74,823,127,250,808,186,110,427,79,150,457,189,216,0,232,115,1028,0,0,0,0,0,625,69,78,735,195,116,870,174,73,440,195,44,685,128,88,0,76,199,1072,0,0,0,0,0,906,47
338,122,549,82,183,591,136,66,426,51,84,241,163,103,0,246,90,807,0,0,0,0,0,351,38,115,634,168,78,577,115,51,361,205,31,477,89,117,0,115,197,653,0,0,0,0,0,662,34
339,106,476,248,223,720,166,109,473,49,108,499,216,206,0,266,101,903,0,0,0,0,0,771,85,48,590,168,109,813,162,78,475,143,53,829,155,130,0,123,164,954,0,0,0,0,0,1022,53
340,102,473,264,204,663,153,102,541,59,117,295,163,192,0,219,93,828,0,0,0,0,0,595,66,77,636,225,91,680,136,57,468,164,41,651,122,106,0,110,257,801,0,0,0,0,0,887,46
341,104,573,204,210,681,157,105,444,58,137,418,162,190,0,224,96,858,0,0,0,0,0,655,72,103,645,177,98,727,145,79,460,124,45,703,131,105,0,64,176,865,0,0,0,0,0,912,47
342,79,661,181,227,737,170,76,396,55,97,513,184,156,0,235,109,978,0,0,0,0,0,693,77,74,505,223,110,825,165,43,455,188,47,742,139,105,0,115,179,995,0,0,0,0,0,958,50
343,96,579,168,253,818,188,131,351,74,134,401,162,206,0,145,118,1053,0,0,0,0,0,630,70,95,623,184,118,878,175,58,417,198,39,620,116,104,0,128,156,1067,0,0,0,0,0,819,43
344,81,629,217,227,734,169,93,350,53,74,262,89,136,0,145,111,994,0,0,0,0,0,515,57,59,736,191,119,891,178,61,457,155,33,528,99,127,0,157,147,1061,0,0,0,0,0,741,39
345,93,418,189,202,653,150,126,455,59,106,508,172,165,0,234,94,840,0,0,0,0,0,741,82,68,641,175,95,706,141,69,455,160,49,780,146,119,0,116,168,823,0,0,0,0,0,973,51
346,89,416,192,239,772,178,85,500,61,122,354,169,181,0,203,113,1008,0,0,0,0,0,568,63,78,621,92,123,913,182,81,276,130,40,616,115,70,0,142,261,1148,0,0,0,0,0,750,39
347,89,586,153,236,762,175,80,423,94,93,397,93,151,0,164,114,1022,0,0,0,0,0,567,63,103,451,251,121,901,180,94,342,132,38,584,109,79,0,115,151,1123,0,0,0,0,0,883,46
348,89,700,208,234,758,175,98,496,35,111,439,155,142,0,223,114,1025,0,0,0,0,0,671,74,72,773,168,121,894,178,91,315,173,45,715,134,45,0,116,191,1148,0,0,0,0,0,926,48
349,118,666,198,239,776,179,68,392,44,126,490,158,160,0,120,115,1034,0,0,0,0,0,681,75,90,519,205,121,902,180,71,409,157,41,640,120,114,0,86,202,1089,0,0,0,0,0,871,45
350,115,472,118,198,640,147,122,326,42,113,461,199,157,0,216,92,828,0,0,0,0,0,631,70,78,495,224,101,756,151,125,331,86,43,677,127,114,0,100,120,894,0,0,0,0,0,975,51
351,101,708,194,277,897,207,117,284,56,76,452,158,175,0,236,134,1206,0,0,0,0,0,687,76,49,565,264,146,1084,216,65,383,207,47,738,138,130,0,121,188,1316,0,0,0,0,0,1014,53
352,65,785,182,268,868,200,92,430,44,92,307,115,145,0,214,133,1191,0,0,0,0,0,523,58,102,883,240,136,1013,202,84,411,209,38,589,110,126,0,132,154,1225,0,0,0,0,0,868,45
